"","type","date(yyyyMMddHHmmss)","author","message","latitude","longitude","location","timestamp","time_1min"
"1","mbdata",20140123170000,"POK","Follow us @POK-Kronos",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"2","mbdata",20140123170000,"maha_Homeland","Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"3","mbdata",20140123170000,"Viktor-E","Come join us in the Park! Music tonight at Abila City Park!",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"4","mbdata",20140123170000,"KronosStar","POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.<U+0098> #KronosStar",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"5","mbdata",20140123170000,"AbilaPost","POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"6","mbdata",20140123170000,"ourcountryourrights","POK rally in the park tonight! #POKrally",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"7","mbdata",20140123170000,"ReggieWassali","great day for a rally! #RememberJuliana #RememberElian #POK",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"8","mbdata",20140123170000,"MindOfKronos","Ugh, these POKers are anooying! #POK #gowaway",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"9","mbdata",20140123170000,"FriendsOfKronos","massive rally of POK terrorists - cops are gathered waiting for arrests",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"10","ccdata",20140123170000,NA,"KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK",NA,NA,"Egeou St / Parla St",2014-01-23 17:00:00,"2014-01-23 17:00:00"
"11","mbdata",20140123170000,"rockinHW","Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"12","mbdata",20140123170000,"KronosQuoth","Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
"13","mbdata",20140123170000,"KronosQuoth","A person who never made a mistake never tried anything new.  #KronosStar #POKRally",NA,NA,NA,2014-01-23 17:00:00,"2014-01-23 17:00:00"
